Time,Des_Pos_X,Des_Pos_Y,Des_Pos_Z,X,Y,Z,Alpha,Beta
3.28,0.782300941577901,-0.782300946075889,-2.99339305888249,0.796433982771208,-0.796433987179319,-1.99359282168718,0.0141349234808667,0.0141335117312653
3.3,0.786777977243261,-0.786777981602329,-2.99357209470186,0.800907780488157,-0.800907784836683,-1.99377176597576,0.0141316843181373,0.0141302734595001
3.32,0.791202936014847,-0.791202940324191,-2.99374625647722,0.805325120016982,-0.805325124307118,-1.99394571244928,0.0141240620249014,0.0141226534564403
3.34,0.79557575163732,-0.795575755954967,-2.99391568098133,0.809686029666547,-0.809686033899061,-1.99411480075053,0.0141121512394414,0.0141107462971156
3.36,0.799896387555472,-0.799896391830169,-2.99408050142367,0.813990554940778,-0.813990559115167,-1.99427916671049,0.0140960341701768,0.0140946340509712
3.38,0.804164808717364,-0.804164812880297,-2.99424084664609,0.818238758063128,-0.818238762178687,-1.99443894231656,0.0140758081598645,0.0140744140058977
3.4,0.808380984435858,-0.808380988510476,-2.99439684104995,0.822430718501567,-0.822430722558785,-1.99459425556327,0.014051583330036,0.0140501963313784
3.42,0.812544910344745,-0.812544914380241,-2.99454860579821,0.826566531517565,-0.826566535517257,-1.99474523098876,0.0140234593384219,0.0140220806689565
3.44,0.816656602335218,-0.816656606359934,-2.9946962588042,0.830646307554428,-0.830646311497102,-1.99489198981048,0.0139915308130828,0.0139901615845899
3.46,0.820716096440091,-0.820716100411099,-2.99483991473999,0.834670172191214,-0.834670176076524,-1.99503464992976,0.0139558874258553,0.0139545286383112
3.48,0.824723439896224,-0.824723443626795,-2.99497968500117,0.838638265123896,-0.838638268949657,-1.99517332611205,0.0139166218356735,0.0139152743036875
3.5,0.828678687554746,-0.828678691027815,-2.995115676861,0.84255074287478,-0.842550746641049,-1.99530812930284,0.0138738356089378,0.0138725002675601
3.52,0.832581911242567,-0.832581914619259,-2.99524799455379,0.846407776031722,-0.846407779740837,-1.99543916736907,0.0138276273932189,0.013826305306514
3.54,0.836433199613587,-0.836433203110288,-2.99537673962622,0.850209547931667,-0.850209551586597,-1.9955665454145,0.0137780918787488,0.0137767841190451
3.56,0.8402326581487,-0.840232661914124,-2.99550201093741,0.853956254660683,-0.853956258263488,-1.99569036577518,0.0137253197984206,0.0137240273255605
3.58,0.843980409155795,-0.84398041314805,-2.99562390465887,0.857648105054,-0.857648108604386,-1.99581072801548,0.0136693979277889,0.013668121468378
3.6,0.847676594016036,-0.847676597738935,-2.99574251436137,0.861285320565127,-0.861285324057465,-1.99592772894874,0.0136104068461521,0.0136091466343163
3.62,0.851321399262752,-0.851321399690725,-2.99585793200496,0.864868133518482,-0.864868136917767,-1.996041462896,0.0135483948906864,0.0135471486258688
3.64,0.854914947986553,-0.854914943988808,-2.99597024391804,0.868396792269992,-0.868396795563093,-1.99615202066301,0.0134834855285952,0.0134822527271315
3.66,0.858457363715595,-0.858457356811727,-2.99607953356964,0.871871556925922,-0.871871560130612,-1.99625949047697,0.0134158127966046,0.0134145955358556
3.68,0.8619488016765,-0.861948794895289,-2.99618588280872,0.875292697511947,-0.875292700663878,-1.99636395835279,0.0133454900720189,0.0133442918685429
3.7,0.865389448794359,-0.86538944553256,-2.99628937186414,0.8786604939731,-0.878660497112623,-1.99646550810121,0.0132726100727208,0.0132714347604461
3.72,0.868779523692734,-0.868779526573868,-2.99639007934466,0.8819752361737,-0.881975239332493,-1.99656422133892,0.0131972448571712,0.0131960954655687
3.74,0.872119276693654,-0.872119286426802,-2.99648808223896,0.885237223897279,-0.885237227084754,-1.99666017750033,0.0131194458244091,0.0131183234566652
